year,country,suicides_no,gdp_for_year
1988,Puerto Rico,314,"26,385,800,000"
1988,Republic of Korea,2949,"196,964,195,387"
1988,Saint Lucia,10,"366,541,091"
1988,Singapore,366,"25,337,226,971"
1988,Spain,2960,"375,138,723,325"
1988,Suriname,49,"1,160,900,000"
1988,Sweden,1590,"204,068,257,818"
1988,Trinidad and Tobago,164,"4,496,852,073"
1988,Turkmenistan,270,"3,010,982,414"
1988,Ukraine,9751,"74,703,517,903"
1988,United Kingdom,4971,"910,122,732,124"
1988,United States,30388,"5,252,629,000,000"
1988,Uruguay,268,"8,213,515,459"
1989,Albania,68,"2,335,124,988"
1989,Antigua and Barbuda,0,"438,794,778"
1989,Argentina,2247,"76,636,898,036"
1989,Australia,2066,"299,317,645,143"
1989,Austria,1898,"133,105,805,928"
1989,Barbados,16,"2,015,731,029"
1989,Belgium,1920,"165,100,094,595"
1989,Belize,1,"363,150,000"
1989,Brazil,4463,"425,595,310,000"
1989,Bulgaria,1460,"21,988,444,444"
1989,Canada,3491,"565,055,743,243"
1989,Chile,725,"29,885,685,143"
1989,Colombia,831,"39,540,080,200"
1989,Costa Rica,167,"6,866,402,028"
1989,Ecuador,431,"13,890,828,708"
1989,Finland,1413,"119,064,708,328"
1989,France,11715,"1,025,211,803,414"
1989,Greece,383,"79,169,043,642"
1989,Grenada,4,"267,327,630"
1989,Guatemala,152,"8,410,724,361"
1989,Guyana,94,"379,779,390"
1989,Iceland,22,"5,588,533,007"
1989,Ireland,278,"39,285,385,088"
1989,Israel,353,"49,881,433,991"
1989,Italy,4342,"925,598,068,021"
1989,Jamaica,0,"4,404,970,059"
1989,Japan,21013,"3,054,914,166,263"
1989,Luxembourg,73,"10,391,504,709"
1989,Malta,23,"2,118,574,772"
1989,Mauritius,144,"2,191,096,860"
1989,Mexico,1865,"222,977,046,516"
1989,Netherlands,1520,"255,039,560,740"
1989,New Zealand,465,"44,170,562,822"
1989,Norway,660,"102,633,789,558"
1989,Panama,70,"5,918,469,800"
1989,Paraguay,67,"4,599,970,618"
1989,Portugal,747,"60,600,056,659"
1989,Puerto Rico,327,"28,161,200,000"
1989,Republic of Korea,3023,"243,526,047,717"
1989,Romania,2529,"42,105,263,158"
1989,Russian Federation,37921,"506,500,173,960"
1989,Saint Lucia,8,"415,518,112"
1989,Singapore,394,"30,423,573,842"
1989,Spain,2987,"413,630,538,018"
1989,Suriname,53,"542,520,000"
1989,Sweden,1579,"214,875,344,910"
1989,Trinidad and Tobago,173,"4,323,058,824"
1989,Turkmenistan,253,"3,006,988,217"
1989,Ukraine,10887,"82,709,161,099"
1989,United Kingdom,4361,"926,884,816,754"
1989,United States,30218,"5,657,693,000,000"
1989,Uruguay,344,"8,438,951,476"
1990,Antigua and Barbuda,1,"459,469,074"
1990,Argentina,2140,"141,352,368,715"
1990,Armenia,93,"2,256,838,858"
1990,Australia,2202,"310,838,014,621"
1990,Austria,1825,"166,463,386,663"
1990,Azerbaijan,114,"8,858,006,036"
1990,Barbados,16,"2,023,318,252"
1990,Belarus,2085,"21,650,000,000"
1990,Belgium,1895,"206,430,841,502"
1990,Belize,3,"413,050,000"
1990,Brazil,4803,"461,951,782,000"
1990,Bulgaria,1323,"20,632,090,909"
1990,Canada,3378,"593,929,550,908"
1990,Chile,743,"33,113,887,818"
1990,Colombia,865,"40,274,204,595"
1990,Costa Rica,157,"7,403,457,319"
1990,Czech Republic,1997,"40,477,403,220"
1990,Ecuador,448,"15,239,278,100"
1990,El Salvador,571,"4,817,542,204"
1990,Finland,1512,"141,517,648,888"
1990,France,11403,"1,269,179,616,914"
1990,Georgia,196,"7,753,501,868"
1990,Germany,13924,"1,764,967,948,917"
1990,Greece,349,"97,891,090,929"
1990,Grenada,2,"278,098,778"
1990,Guatemala,158,"7,650,125,217"
1990,Guyana,89,"396,582,263"
1990,Iceland,40,"6,372,905,073"
1990,Ireland,334,"49,364,681,256"
1990,Israel,304,"58,986,997,917"
1990,Italy,4402,"1,177,326,294,441"
1990,Jamaica,3,"4,592,224,067"
1990,Japan,20002,"3,132,817,652,848"
1990,Kazakhstan,3172,"26,932,728,899"
1990,Kyrgyzstan,547,"2,674,000,000"
1990,Luxembourg,68,"13,229,247,948"
1990,Malta,8,"2,547,163,582"
1990,Mauritius,147,"2,653,480,001"
1990,Mexico,1926,"262,709,948,091"
1990,Netherlands,1450,"314,267,667,675"
1990,New Zealand,455,"45,519,034,244"
1990,Norway,659,"119,791,683,308"
1990,Paraguay,99,"5,695,201,563"
1990,Poland,4970,"65,977,749,037"
1990,Portugal,870,"78,721,607,509"
1990,Puerto Rico,371,"30,603,919,000"
1990,Republic of Korea,3159,"279,349,355,714"
1990,Romania,2079,"38,995,454,545"
1990,Russian Federation,39028,"516,814,274,022"
1990,Saint Kitts and Nevis,0,"208,740,444"
1990,Saint Lucia,3,"483,962,431"
1990,Saint Vincent and Grenadines,5,"240,365,259"
1990,Singapore,354,"36,152,027,893"
1990,Spain,2939,"535,101,248,776"
1990,Suriname,26,"388,300,000"
1990,Sweden,1471,"258,154,283,909"
1990,Thailand,3753,"85,343,063,966"
1990,Trinidad and Tobago,170,"5,068,000,000"
1990,Turkmenistan,298,"3,189,539,641"
1990,Ukraine,10645,"81,456,918,679"
1990,United Kingdom,4643,"1,093,169,389,205"
1990,United States,30895,"5,979,589,000,000"
1990,Uruguay,315,"9,298,839,655"
1990,Uzbekistan,1459,"13,360,607,918"
1991,Antigua and Barbuda,0,"481,706,333"
1991,Argentina,1951,"189,719,984,268"
1991,Armenia,80,"2,068,526,522"
1991,Australia,2288,"325,358,292,128"
1991,Austria,1769,"173,794,177,725"
1991,Azerbaijan,134,"8,792,365,811"
1991,Barbados,17,"2,007,109,829"
1991,Belarus,2169,"18,000,000,000"
1991,Belgium,1805,"211,637,816,539"
1991,Belize,2,"444,720,750"
1991,Brazil,5156,"602,860,000,000"
1991,Bulgaria,1384,"10,943,548,387"
1991,Canada,3593,"610,328,183,643"
1991,Chile,787,"37,834,793,730"
1991,Colombia,1010,"41,239,551,378"
1991,Costa Rica,125,"7,168,999,428"
1991,Czech Republic,1904,"29,675,502,270"
1991,Ecuador,494,"16,988,535,268"
1991,El Salvador,474,"5,252,342,400"
1991,Finland,1493,"127,866,490,222"
1991,France,11502,"1,269,276,828,276"
1991,Georgia,174,"6,357,615,894"
1991,Germany,14010,"1,861,873,895,109"
1991,Greece,381,"105,143,232,380"
1991,Grenada,0,"300,757,889"
1991,Guatemala,156,"9,406,097,735"
1991,Guyana,105,"336,708,419"
1991,Hungary,3993,"34,748,508,332"
1991,Iceland,37,"6,807,365,898"
1991,Ireland,345,"49,847,128,533"
1991,Israel,359,"67,530,220,219"
1991,Italy,4453,"1,242,109,397,534"
1991,Jamaica,1,"4,071,219,198"
1991,Japan,19780,"3,584,420,077,101"
1991,Kazakhstan,3082,"24,881,135,586"
1991,Kiribati,10,"47,515,189"
1991,Kyrgyzstan,543,"2,570,833,333"
1991,Luxembourg,77,"14,321,878,795"
1991,Malta,10,"2,750,041,434"
1991,Mauritius,137,"2,856,890,681"
1991,Mexico,2103,"314,454,015,372"
1991,Netherlands,1611,"323,320,449,906"
1991,New Zealand,474,"42,756,020,707"
1991,Norway,675,"121,872,464,483"
1991,Paraguay,75,"6,984,367,763"
1991,Poland,5316,"85,500,935,935"
1991,Portugal,942,"89,242,382,961"
1991,Puerto Rico,355,"32,287,031,000"
1991,Republic of Korea,3069,"325,734,233,313"
1991,Romania,2161,"28,998,684,211"
1991,Russian Federation,39281,"517,962,962,963"
1991,Saint Kitts and Nevis,0,"209,880,963"
1991,Saint Lucia,6,"513,753,818"
1991,Singapore,296,"45,474,442,836"
1991,Spain,2916,"575,598,537,070"
1991,Suriname,57,"448,300,000"
1991,Sweden,1483,"270,362,531,377"
1991,Thailand,3559,"98,234,695,722"
1991,Trinidad and Tobago,148,"5,307,905,882"
1991,Turkmenistan,273,"3,208,098,919"
1991,Ukraine,10700,"77,464,561,150"
1991,United Kingdom,4547,"1,142,797,178,131"
1991,United States,30790,"6,174,043,000,000"
1991,Uzbekistan,1393,"13,677,622,222"
1992,Albania,47,"709,452,584"
1992,Antigua and Barbuda,0,"499,281,148"
1992,Argentina,2184,"228,788,617,202"
1992,Armenia,83,"1,272,577,456"
1992,Australia,2251,"324,878,105,053"
1992,Austria,1759,"195,078,126,346"
1992,Azerbaijan,144,"4,991,350,458"
1992,Barbados,14,"1,950,900,000"
1992,Belarus,2424,"17,037,037,037"
1992,Belgium,1878,"236,038,384,442"
1992,Brazil,5207,"400,599,250,000"
1992,Bulgaria,1519,"10,350,515,464"
1992,Canada,3708,"592,387,689,253"
1992,Chile,658,"45,964,327,559"
1992,Colombia,1086,"49,279,585,355"
1992,Costa Rica,149,"8,528,593,084"
1992,Cuba,2299,"22,085,858,243"
1992,Czech Republic,1991,"34,590,052,812"
1992,Ecuador,505,"18,094,238,119"
1992,El Salvador,419,"5,813,399,300"
1992,Finland,1451,"112,625,431,378"
1992,France,11644,"1,401,465,923,172"
1992,Georgia,204,"3,690,328,964"
1992,Germany,13458,"2,123,130,870,382"
1992,Greece,351,"116,224,673,043"
1992,Grenada,0,"310,160,444"
1992,Guatemala,173,"10,440,842,165"
1992,Guyana,78,"368,281,379"
1992,Hungary,4000,"38,724,945,368"
1992,Iceland,28,"6,976,080,331"
1992,Ireland,362,"55,985,506,499"
1992,Israel,381,"75,575,902,932"
1992,Italy,4543,"1,315,806,985,860"
1992,Japan,20756,"3,908,809,463,464"
1992,Kazakhstan,3356,"24,906,939,560"
1992,Kiribati,4,"47,737,955"
1992,Kyrgyzstan,491,"2,316,562,500"
1992,Luxembourg,59,"16,065,740,778"
1992,Malta,18,"3,021,910,217"
1992,Mauritius,146,"3,224,267,548"
1992,Mexico,2237,"363,609,163,462"
1992,Netherlands,1587,"358,330,385,840"
1992,New Zealand,493,"41,636,005,955"
1992,Norway,616,"130,838,040,068"
1992,Philippines,347,"52,976,344,929"
1992,Poland,5713,"94,337,050,693"
1992,Portugal,866,"107,602,689,041"
1992,Puerto Rico,314,"34,630,430,000"
1992,Republic of Korea,3533,"350,051,111,253"
1992,Romania,2650,"25,121,666,667"
1992,Russian Federation,45923,"460,290,556,901"
1992,Saint Kitts and Nevis,0,"229,434,519"
1992,Saint Lucia,11,"566,894,749"
1992,Singapore,277,"52,156,414,979"
1992,Slovakia,796,"15,431,288,006"
1992,Spain,2786,"629,202,392,004"
1992,Suriname,48,"404,600,000"
1992,Sweden,1355,"280,312,318,915"
1992,Thailand,3550,"111,452,869,378"
1992,Trinidad and Tobago,163,"5,439,552,941"
1992,Turkmenistan,271,"3,200,539,816"
1992,Ukraine,11666,"73,942,235,330"
1992,United Kingdom,4628,"1,179,659,529,660"
1992,United States,30471,"6,539,299,000,000"
1992,Uzbekistan,1344,"12,941,297,376"
1993,Albania,73,"1,228,071,038"
1993,Antigua and Barbuda,1,"535,172,778"
1993,Argentina,2230,"236,741,715,015"
1993,Armenia,106,"1,201,313,201"
1993,Australia,2038,"311,528,948,848"
1993,Austria,1704,"190,379,720,927"
1993,Azerbaijan,119,"3,973,027,397"
1993,Bahamas,7,"3,092,000,000"
1993,Barbados,16,"2,046,189,032"
1993,Belarus,2885,"16,280,991,736"
1993,Belgium,2142,"225,924,679,921"
1993,Belize,1,"559,858,250"
1993,Brazil,5508,"437,798,577,640"
1993,Bulgaria,1470,"10,829,710,145"
1993,Canada,3803,"577,170,761,956"
1993,Chile,740,"49,297,773,130"
1993,Colombia,1085,"55,802,538,219"
1993,Costa Rica,164,"9,537,297,507"
1993,Cuba,2374,"22,367,254,865"
1993,Czech Republic,1917,"40,614,350,197"
1993,Ecuador,574,"18,938,717,359"
1993,El Salvador,424,"6,680,269,200"
1993,Finland,1397,"89,255,751,015"
1993,France,12251,"1,322,815,612,694"
1993,Germany,12690,"2,068,555,542,411"
1993,Greece,412,"108,809,058,859"
1993,Grenada,3,"309,812,185"
1993,Guatemala,165,"11,399,942,453"
1993,Guyana,72,"442,273,433"
1993,Hungary,3694,"40,119,073,326"
1993,Iceland,26,"6,126,456,175"
1993,Ireland,326,"52,480,253,169"
1993,Israel,371,"75,954,641,355"
1993,Italy,4697,"1,061,445,225,791"
1993,Japan,20353,"4,454,143,876,947"
1993,Kazakhstan,4019,"23,409,027,476"
1993,Kiribati,12,"46,919,625"
1993,Kuwait,18,"23,941,391,391"
1993,Kyrgyzstan,563,"2,028,295,455"
1993,Luxembourg,64,"16,486,900,187"
1993,Malta,16,"2,709,178,327"
1993,Mauritius,138,"3,263,368,410"
1993,Mexico,2342,"500,736,065,605"
1993,Netherlands,1555,"349,037,818,106"
1993,New Zealand,443,"46,712,018,141"
1993,Norway,590,"120,579,072,751"
1993,Philippines,846,"54,368,083,953"
1993,Poland,5624,"96,045,645,026"
1993,Portugal,780,"95,019,103,603"
1993,Puerto Rico,345,"36,922,456,000"
1993,Republic of Korea,4124,"386,302,839,274"
1993,Romania,2774,"26,362,894,737"
1993,Russian Federation,55846,"435,083,713,851"
1993,Saint Lucia,8,"574,870,405"
1993,Singapore,270,"60,644,572,348"
1993,Slovakia,738,"16,452,201,101"
1993,Spain,3037,"523,649,481,762"
1993,Sweden,1373,"209,950,792,713"
1993,Trinidad and Tobago,174,"4,669,488,516"
1993,Turkmenistan,240,"3,179,225,949"
1993,Ukraine,12469,"65,648,559,903"
1993,United Kingdom,4462,"1,061,388,722,256"
1993,United States,31084,"6,878,718,000,000"
1993,Uruguay,418,"15,002,106,518"
1993,Uzbekistan,1355,"13,099,013,836"
1994,Albania,50,"1,985,673,798"
1994,Antigua and Barbuda,0,"589,429,593"
1994,Argentina,2241,"257,440,000,000"
1994,Armenia,112,"1,315,158,670"
1994,Australia,2283,"322,201,314,424"
1994,Austria,1776,"203,535,242,742"
1994,Azerbaijan,47,"3,313,739,674"
1994,Bahamas,3,"3,259,000,000"
1994,Barbados,14,"2,151,295,182"
1994,Belarus,3153,"14,932,024,169"
1994,Belgium,2131,"246,194,938,751"
1994,Belize,8,"580,863,700"
1994,Brazil,5896,"558,111,997,497"
1994,Bulgaria,1464,"9,697,416,974"
1994,Canada,3748,"578,139,279,438"
1994,Chile,801,"57,008,425,296"
1994,Colombia,1198,"81,703,500,846"
1994,Costa Rica,162,"10,432,619,390"
1994,Cuba,2278,"28,448,326,757"
1994,Czech Republic,1872,"47,554,674,591"
1994,Denmark,999,"156,162,311,732"
1994,Ecuador,512,"22,708,673,337"
1994,Finland,1387,"103,321,570,859"
1994,France,12041,"1,393,982,750,473"
1994,Georgia,123,"2,513,870,587"
1994,Germany,12718,"2,205,966,011,812"
1994,Greece,355,"116,601,802,107"
1994,Grenada,4,"325,111,815"
1994,Guatemala,142,"12,983,235,568"
1994,Guyana,86,"540,874,934"
1994,Hungary,3625,"43,160,392,124"
1994,Iceland,25,"6,294,803,497"
1994,Ireland,394,"57,166,037,102"
1994,Israel,416,"86,307,135,997"
1994,Italy,4536,"1,095,590,833,694"
1994,Japan,20744,"4,907,039,384,470"
1994,Kazakhstan,4024,"21,250,839,258"
1994,Kiribati,10,"54,832,578"
1994,Kuwait,30,"24,848,483,838"
1994,Kyrgyzstan,581,"1,681,006,993"
1994,Luxembourg,74,"18,325,791,415"
1994,Macau,27,"6,265,844,252"
1994,Malta,15,"2,998,570,147"
1994,Mauritius,129,"3,558,137,040"
1994,Mexico,2588,"527,813,238,126"
1994,Netherlands,1584,"374,291,430,318"
1994,New Zealand,512,"55,154,160,816"
1994,Norway,531,"127,131,461,120"
1994,Paraguay,108,"7,870,982,171"
1994,Poland,5519,"110,803,391,517"
1994,Portugal,762,"99,698,453,261"
1994,Puerto Rico,355,"39,690,630,000"
1994,Republic of Korea,4212,"455,602,962,225"
1994,Romania,2887,"30,074,440,483"
1994,Russian Federation,61420,"395,077,301,248"
1994,Saint Lucia,6,"600,005,564"
1994,Singapore,316,"73,777,792,327"
1994,Slovakia,691,"20,079,363,626"
1994,Spain,3171,"529,121,577,320"
1994,Sweden,1324,"226,079,963,712"
1994,Thailand,2307,"146,683,499,006"
1994,Trinidad and Tobago,148,"4,947,205,860"
1994,Turkmenistan,234,"2,561,118,608"
1994,Ukraine,13826,"52,549,555,149"
1994,United Kingdom,4380,"1,140,489,745,944"
1994,United States,31123,"7,308,755,000,000"
1994,Uruguay,406,"17,474,647,792"
1994,Uzbekistan,1419,"12,899,156,991"
1995,Albania,88,"2,424,499,009"
1995,Antigua and Barbuda,0,"577,280,741"
1995,Argentina,2204,"258,031,750,000"
1995,Armenia,130,"1,468,317,350"
1995,Aruba,8,"1,320,670,391"
1995,Australia,2170,"367,216,364,716"
1995,Austria,1788,"241,038,283,063"
1995,Azerbaijan,49,"3,052,467,522"
1995,Bahamas,2,"3,429,000,000"
1995,Barbados,17,"2,261,969,870"
1995,Belarus,3203,"13,972,676,841"
1995,Belgium,2155,"289,567,323,481"
1995,Belize,14,"620,140,400"
1995,Brazil,6536,"769,305,386,183"
1995,Bulgaria,1433,"13,063,422,619"
1995,Canada,3968,"604,031,623,433"
1995,Chile,930,"73,447,063,319"
1995,Colombia,1150,"92,507,279,383"
1995,Costa Rica,209,"11,513,472,694"
1995,Croatia,929,"22,387,561,845"
1995,Cuba,2222,"30,429,803,651"
1995,Czech Republic,1733,"59,775,697,061"
1995,Denmark,924,"185,006,961,302"
1995,Ecuador,546,"24,432,884,442"
1995,El Salvador,620,"8,921,947,100"
1995,Estonia,594,"4,373,665,146"
1995,Finland,1388,"134,199,346,405"
1995,France,11819,"1,601,094,756,210"
1995,Georgia,138,"2,693,731,866"
1995,Germany,12888,"2,591,620,035,485"
1995,Greece,370,"136,878,366,230"
1995,Grenada,1,"342,172,519"
1995,Guatemala,211,"14,655,404,433"
1995,Guyana,99,"621,626,786"
1995,Hungary,3366,"46,418,916,500"
1995,Iceland,27,"7,018,100,153"
1995,Ireland,403,"69,222,626,263"
1995,Israel,360,"100,343,219,507"
1995,Italy,4569,"1,170,787,352,906"
1995,Japan,21249,"5,449,116,304,981"
1995,Kazakhstan,4706,"20,374,307,047"
1995,Kiribati,2,"56,338,028"
1995,Kuwait,26,"27,191,689,008"
1995,Kyrgyzstan,605,"1,661,018,519"
1995,Latvia,1024,"5,788,368,511"
1995,Lithuania,1694,"7,870,782,261"
1995,Luxembourg,63,"21,588,170,498"
1995,Malta,17,"3,439,931,907"
1995,Mauritius,147,"4,040,345,933"
1995,Mexico,2877,"360,073,909,244"
1995,Netherlands,1511,"446,528,959,649"
1995,New Zealand,545,"63,918,039,320"
1995,Norway,548,"152,027,402,450"
1995,Paraguay,118,"9,062,131,308"
1995,Poland,5499,"142,137,319,588"
1995,Portugal,809,"118,133,634,072"
1995,Puerto Rico,289,"42,647,331,000"
1995,Qatar,0,"8,137,911,978"
1995,Republic of Korea,4841,"556,130,926,913"
1995,Romania,2793,"37,662,075,750"
1995,Russian Federation,60548,"395,531,066,563"
1995,Saint Lucia,10,"640,449,501"
1995,Saint Vincent and Grenadines,7,"316,008,481"
1995,Singapore,364,"87,890,009,877"
1995,Slovakia,735,"25,733,043,137"
1995,Slovenia,564,"21,273,055,398"
1995,Spain,3157,"612,939,685,081"
1995,Suriname,55,"693,970,588"
1995,Sweden,1348,"264,051,981,551"
1995,Switzerland,1419,"342,617,007,104"
1995,Thailand,4245,"169,278,552,851"
1995,Trinidad and Tobago,184,"5,329,214,163"
1995,Turkmenistan,244,"2,482,228,440"
1995,Ukraine,14541,"48,213,868,178"
1995,United Kingdom,4315,"1,335,218,557,677"
1995,United States,31272,"7,664,060,000,000"
1995,Uruguay,427,"19,297,663,097"
1995,Uzbekistan,1485,"13,350,468,917"
1996,Albania,89,"3,314,898,292"
1996,Argentina,2229,"272,149,750,000"
1996,Armenia,87,"1,596,968,913"
1996,Australia,2426,"400,302,731,411"
1996,Austria,1779,"237,250,948,791"
1996,Azerbaijan,69,"3,176,749,593"
1996,Bahamas,3,"3,609,000,000"
1996,Belarus,3627,"14,756,846,154"
1996,Belgium,2013,"281,358,175,896"
1996,Belize,8,"641,383,800"
